rank,portfolio,label,strategy,sample_status,sample_maturity,closed_trades,winning_trades,win_rate_pct,profit_factor,expectancy_eur,equity_eur,total_pnl_eur,total_return_pct,closed_pnl_eur,open_pnl_eur,open_positions,max_drawdown_pct,average_mfe_net_eur,average_mae_net_eur,average_profit_retained_pct,profit_retention_sample,comparison_score
1,SHADOW_1H_FAST,Rapida 1H V1,momentum_breakout,IN OSSERVAZIONE,2,25,12,48.0,1.4845487415057816,9.512903665379612,10290.543303332097,290.5433033320969,2.905433033320969,237.82259163449032,54.27254958995672,2,2.3377399750474237,58.746217803721535,-33.90795223910466,-142.89347322928822,12,8.364867269609036
2,MAIN,Principale 4H,confluence_trend,IN OSSERVAZIONE,2,10,3,30.0,0.7119617266377714,-9.029951537226905,9860.884551054323,-139.1154489456767,-1.391154489456767,-90.29951537226906,-45.83615033259832,3,3.4839302433382886,33.86655966985767,-60.2527297781892,-508.43639027841436,6,-9.007589827957187
3,SHADOW_SCANNER_TOP5_LONG,Scanner Top 5 Long 1H,scanner_top5_long,PRELIMINARE,1,8,6,75.0,3.761256384346992,38.56148154020337,10306.571092942097,306.5710929420966,3.0657109294209657,308.49185232162694,0.0,2,0.7518765704742297,71.98242828261148,-28.753507821360337,-39.39656390314259,8,12.2391049643115
4,SHADOW_COMBO_ADAPTIVE,Combo Adaptive,combo_adaptive,PRELIMINARE,1,9,5,55.55555555555556,2.2718790672481513,23.07673893720046,10209.320573051802,209.32057305180206,2.0932057305180205,207.69065043480416,4.4784116498754925,2,0.7496121318317036,67.2440908120697,-33.3470703638825,-30.401541586553158,8,7.826146661410419
5,SHADOW_SCANNER_TOP5_BTC,Scanner Top 5 + forza BTC 1H,scanner_top5_btc_strength,PRELIMINARE,1,7,4,57.14285714285714,2.8860628199840734,29.606501176222157,10206.075329576623,206.0753295766226,2.060753295766226,207.24550823355509,0.0,1,1.6201959685876006,82.17840011672011,-34.847537678486034,-42.611825236637436,7,7.759397804453221
6,SHADOW_DONCHIAN_1H,Benchmark Donchian breakout 1H,donchian_breakout,PRELIMINARE,1,4,2,50.0,1.6766688808138237,17.914774602601618,10236.457289944541,236.45728994454112,2.364572899445411,71.65909841040647,165.67193479676766,2,1.346519890887825,72.79487428542488,-36.643434045774256,-56.34340548367913,4,3.8392241390360176
7,SHADOW_COMBO_MEAN_REVERSION,Combo Mean Reversion,combo_mean_reversion,PRELIMINARE,1,1,1,100.0,3.0,76.45575690860952,10072.555795272323,72.55579527232294,0.7255579527232294,76.45575690860952,-1.1436824439120554,2,0.038703704262416164,125.07344854022703,-3.0925141057299648,61.1286870242642,1,3.5165808484492778
8,SHADOW_RELATIVE_STRENGTH,Forza relativa 1H V1,relative_strength,PRELIMINARE,1,7,4,57.14285714285714,1.5583105778096937,12.628386864422813,10087.264419077246,87.2644190772462,0.8726441907724621,88.3987080509597,0.0,4,1.3612356247753958,35.771467336330105,-84.54371855632938,0.4869148162536878,1,2.5108049731458104
9,SHADOW_SCANNER_BOTTOM5_SHORT,Scanner Bottom 5 Short 1H,scanner_bottom5_short,PRELIMINARE,1,2,1,50.0,1.9587263634555012,24.266988980669357,10160.566152266456,160.5661522664559,1.6056615226645592,48.533977961338714,113.5304313801238,3,0.5140343009082607,60.239707669064344,-30.317295384549723,-542.5288040694758,2,2.4976188279936338
10,SHADOW_1H_BALANCED,Bilanciata 1H V1,confluence_trend,PRELIMINARE,1,8,4,50.0,1.4663053605741594,9.305630918391458,10073.312938359419,73.3129383594187,0.733129383594187,74.44504734713166,0.0,4,1.0561685736984596,35.79106320308936,-103.63564854006754,6.706547790151634,1,2.0963470576650725
11,SHADOW_RSI_SHORT_5X_RSI75,Scalp RSI Short 75 · prudente · 5x,rsi_extreme_reversal,PRELIMINARE,1,2,1,50.0,0.7034856466359757,-1.6001089881572983,9996.799782023683,-3.200217976316708,-0.03200217976316708,-3.2002179763145966,0,0,0.16432667581000715,8.625436123435385,-9.454657948057292,43.17106928431864,1,-0.32468709972614346
12,SHADOW_COMBO_TREND,Combo Trend,combo_trend,PRELIMINARE,1,6,2,33.33333333333333,0.9709356062659001,-0.7726203369138057,10099.151627463601,99.15162746360147,0.9915162746360148,-4.6357220214828345,107.45211906110757,3,1.4798429058710851,61.400173703725365,-41.79963264322834,-105.2402574220897,6,-0.5614915042867624
