generated_utc,evaluation_key,scope,scope_value,scenario_id,previous_status,current_status,previous_eligible,current_eligible,sample_eligible,average_delta_r,median_delta_r,bootstrap_ci_low_delta_r,improved_pct,evidence_score,decision_summary
2026-07-19T19:23:34+00:00,ASSET|PEPE|block3-v1-r-matrix|ATR30_R100,ASSET,PEPE,ATR30_R100,,INSUFFICIENT_DATA,False,False,0,0.0,0.0,0.0,0.0,25.0,0/30 campioni completi richiesti per il primo segnale.
2026-07-19T19:23:34+00:00,ASSET|PEPE|block3-v1-r-matrix|BE_R050,ASSET,PEPE,BE_R050,,INSUFFICIENT_DATA,False,False,0,0.0,0.0,0.0,0.0,25.0,0/30 campioni completi richiesti per il primo segnale.
2026-07-19T19:23:34+00:00,ASSET|PEPE|block3-v1-r-matrix|BE_R100,ASSET,PEPE,BE_R100,,INSUFFICIENT_DATA,False,False,0,0.0,0.0,0.0,0.0,25.0,0/30 campioni completi richiesti per il primo segnale.
2026-07-19T19:23:34+00:00,ASSET|PEPE|block3-v1-r-matrix|GB20_R050,ASSET,PEPE,GB20_R050,,INSUFFICIENT_DATA,False,False,0,0.0,0.0,0.0,0.0,25.0,0/30 campioni completi richiesti per il primo segnale.
2026-07-19T19:23:34+00:00,ASSET|PEPE|block3-v1-r-matrix|GB20_R100,ASSET,PEPE,GB20_R100,,INSUFFICIENT_DATA,False,False,0,0.0,0.0,0.0,0.0,25.0,0/30 campioni completi richiesti per il primo segnale.
2026-07-19T19:23:34+00:00,ASSET|PEPE|block3-v1-r-matrix|GB30_R050,ASSET,PEPE,GB30_R050,,INSUFFICIENT_DATA,False,False,0,0.0,0.0,0.0,0.0,25.0,0/30 campioni completi richiesti per il primo segnale.
2026-07-19T19:23:34+00:00,ASSET|PEPE|block3-v1-r-matrix|GB30_R100,ASSET,PEPE,GB30_R100,,INSUFFICIENT_DATA,False,False,0,0.0,0.0,0.0,0.0,25.0,0/30 campioni completi richiesti per il primo segnale.
2026-07-19T19:23:34+00:00,ASSET|PEPE|block3-v1-r-matrix|GB40_R050,ASSET,PEPE,GB40_R050,,INSUFFICIENT_DATA,False,False,0,0.0,0.0,0.0,0.0,25.0,0/30 campioni completi richiesti per il primo segnale.
2026-07-19T19:23:34+00:00,ASSET|PEPE|block3-v1-r-matrix|GB40_R100,ASSET,PEPE,GB40_R100,,INSUFFICIENT_DATA,False,False,0,0.0,0.0,0.0,0.0,25.0,0/30 campioni completi richiesti per il primo segnale.
2026-07-19T19:23:34+00:00,ASSET|PEPE|block3-v1-r-matrix|GB50_R050,ASSET,PEPE,GB50_R050,,INSUFFICIENT_DATA,False,False,0,0.0,0.0,0.0,0.0,25.0,0/30 campioni completi richiesti per il primo segnale.
