generated_utc,scope,portfolio,scenario_id,scenario_kind,sample_total,sample_full_from_entry,sample_partial,average_actual_comparable_pnl_eur,average_shadow_comparable_pnl_eur,average_delta_vs_actual_eur,median_delta_vs_actual_eur,total_delta_vs_actual_eur,improved_count,worsened_count,equal_count,improved_pct,shadow_win_rate_pct,actual_win_rate_pct,shadow_profit_factor,shadow_expectancy_eur,earlier_better_count,too_early_count,later_better_count,too_late_count,same_time_better_count,same_time_worse_count,ambiguous_count,data_stage
2026-07-27T01:08:47+00:00,ALL,ALL,BE_R040,BREAKEVEN,439,439,0,-17.874995491406274,-8.16076661953646,9.714228871869812,0.0,4264.546474750848,168,173,98,38.26879271070615,0.0,39.17995444191344,0.0,-8.16076661953646,168,81,0,92,0,0,0,READY_FOR_BLOCK4_EVALUATION
2026-07-27T01:08:47+00:00,ALL,ALL,BE_R050,BREAKEVEN,1632,1567,65,-6.535455225127419,-17.125153177385034,-10.589697952257614,0.0,-17282.387058084427,477,674,481,29.22794117647059,0.1838235294117647,38.90931372549019,0.004509560141851206,-17.125153177385034,476,325,1,349,0,0,33,READY_FOR_BLOCK4_EVALUATION
2026-07-27T01:08:47+00:00,ALL,ALL,BE_R075,BREAKEVEN,423,423,0,-21.23059369938549,-12.938296493064902,8.292297206320592,0.0,3507.6417182736104,127,158,138,30.023640661938533,0.0,36.87943262411347,0.0,-12.938296493064902,125,31,2,127,0,0,0,READY_FOR_BLOCK4_EVALUATION
2026-07-27T01:08:47+00:00,ALL,ALL,BE_R100,BREAKEVEN,1515,1450,65,-10.398815218572025,-25.196198679906264,-14.797383461334237,0.0,-22418.035943921368,330,613,572,21.782178217821784,0.19801980198019803,36.5016501650165,0.0033057196378546297,-25.196198679906264,324,114,6,499,0,0,30,READY_FOR_BLOCK4_EVALUATION
2026-07-27T01:08:47+00:00,ALL,ALL,GB20_R040,MFE_GIVEBACK,517,517,0,-8.674479905910992,8.793899657851409,17.468379563762397,0.6581959001257298,9031.15223446516,280,157,80,54.15860735009671,82.97872340425532,48.35589941972921,2.431707463535104,8.793899657851409,278,157,2,0,0,0,0,READY_FOR_BLOCK4_EVALUATION
2026-07-27T01:08:47+00:00,ALL,ALL,GB20_R050,MFE_GIVEBACK,1768,1703,65,-1.742331902441192,5.25204270901574,6.994374611456931,1.1102230246251565e-15,12366.054313055854,875,538,355,49.490950226244344,71.94570135746606,43.55203619909502,1.3891650030255245,5.25204270901574,862,536,13,2,0,0,7,READY_FOR_BLOCK4_EVALUATION
2026-07-27T01:08:47+00:00,ALL,ALL,GB20_R075,MFE_GIVEBACK,516,516,0,-8.725206235608809,12.07670807003303,20.80191430564184,0.29552770909752807,10733.78778171119,272,123,121,52.71317829457365,72.28682170542635,48.25581395348838,2.2066385044907095,12.07670807003303,259,121,13,2,0,0,0,READY_FOR_BLOCK4_EVALUATION
2026-07-27T01:08:47+00:00,ALL,ALL,GB20_R100,MFE_GIVEBACK,1738,1673,65,-1.7702733481018509,6.340911609735155,8.111184957837006,0.0,14097.239456720716,795,463,480,45.742232451093216,58.86075949367089,43.958573072497124,1.3165628747172273,6.340911609735155,695,430,100,33,0,0,0,READY_FOR_BLOCK4_EVALUATION
2026-07-27T01:08:47+00:00,ALL,ALL,GB30_R040,MFE_GIVEBACK,517,517,0,-8.674479905910992,7.920870004158455,16.595349910069448,0.3423802678196168,8579.795903505905,264,163,90,51.06382978723404,82.97872340425532,48.35589941972921,2.2895722198194552,7.920870004158455,262,158,2,5,0,0,0,READY_FOR_BLOCK4_EVALUATION
2026-07-27T01:08:47+00:00,ALL,ALL,GB30_R050,MFE_GIVEBACK,1768,1703,65,-1.742331902441192,3.631939061686377,5.374270964127568,0.0,9501.711064577541,836,569,363,47.28506787330316,71.94570135746606,43.55203619909502,1.2691188275189373,3.631939061686377,828,553,8,16,0,0,7,READY_FOR_BLOCK4_EVALUATION
2026-07-27T01:08:47+00:00,ALL,ALL,GB30_R075,MFE_GIVEBACK,516,516,0,-8.725206235608809,10.23617132753822,18.96137756314703,0.0002656306962213195,9784.070822583866,249,137,130,48.25581395348838,72.28682170542635,48.25581395348838,2.0227421571131528,10.23617132753822,236,125,13,12,0,0,0,READY_FOR_BLOCK4_EVALUATION
2026-07-27T01:08:47+00:00,ALL,ALL,GB30_R100,MFE_GIVEBACK,1738,1673,65,-1.7702733481018509,4.505746662158801,6.276020010260652,0.0,10907.722777833013,782,477,479,44.99424626006904,58.86075949367089,43.958573072497124,1.2249443303910235,4.505746662158801,676,418,106,59,0,0,0,READY_FOR_BLOCK4_EVALUATION
2026-07-27T01:08:47+00:00,ALL,ALL,GB40_R040,MFE_GIVEBACK,517,517,0,-8.674479905910992,6.778596630987445,15.453076536898436,2.220446049250313e-16,7989.240569576492,255,181,81,49.32301740812379,82.97872340425532,48.35589941972921,2.103602243199785,6.778596630987445,246,168,9,13,0,0,0,READY_FOR_BLOCK4_EVALUATION
2026-07-27T01:08:47+00:00,ALL,ALL,GB40_R050,MFE_GIVEBACK,1768,1703,65,-1.742331902441192,1.5826982073821243,3.325030109823316,0.0,5878.653234167623,811,600,357,45.8710407239819,71.94570135746606,43.55203619909502,1.117274513325461,1.5826982073821243,796,562,15,38,0,0,7,READY_FOR_BLOCK4_EVALUATION
2026-07-27T01:08:47+00:00,ALL,ALL,GB40_R075,MFE_GIVEBACK,516,516,0,-8.725206235608809,10.625884096133468,19.351090331742277,0.0,9985.162611179016,247,144,125,47.86821705426357,72.28682170542635,48.25581395348838,2.0616801217929113,10.625884096133468,222,122,25,22,0,0,0,READY_FOR_BLOCK4_EVALUATION
2026-07-27T01:08:47+00:00,ALL,ALL,GB40_R100,MFE_GIVEBACK,1735,1670,65,-1.893134949062806,3.3178008647418196,5.210935813804626,0.0,9040.973636951025,780,460,495,44.95677233429395,58.789625360230545,43.861671469740635,1.1653515631358313,3.3178008647418196,660,343,120,117,0,0,0,READY_FOR_BLOCK4_EVALUATION
2026-07-27T01:08:47+00:00,ALL,ALL,GB50_R050,MFE_GIVEBACK,1767,1702,65,-1.7409253575808414,0.3581561747373837,2.099081532318225,0.0,3709.077067606304,800,611,356,45.27447651386531,71.76004527447651,43.57668364459536,1.026353295981283,0.3581561747373837,770,524,30,87,0,0,10,READY_FOR_BLOCK4_EVALUATION
2026-07-27T01:08:47+00:00,ALL,ALL,GB50_R075,MFE_GIVEBACK,516,516,0,-8.725206235608809,8.87863391398742,17.60384014959623,0.11560270522753535,9083.581517191655,264,132,120,51.162790697674424,72.28682170542635,48.25581395348838,1.8871044564270048,8.87863391398742,232,80,32,52,0,0,0,READY_FOR_BLOCK4_EVALUATION
2026-07-27T01:08:47+00:00,ALL,ALL,GB50_R100,MFE_GIVEBACK,1731,1666,65,-2.0543468607276067,1.9183969704546107,3.9727438311822176,0.0,6876.819571776418,729,516,486,42.114384748700175,58.69439630271519,43.73194685153091,1.0953880690675695,1.9183969704546107,615,279,114,237,0,0,0,READY_FOR_BLOCK4_EVALUATION
2026-07-27T01:08:47+00:00,ALL,ALL,TIME_12H,TIME_EXIT,1745,1680,65,-2.036101651321342,-1.3384891254914093,0.6976125258299329,0.0,1217.333857573233,708,657,380,40.5730659025788,34.67048710601719,42.693409742120345,0.9376730920068507,-1.3384891254914093,430,195,278,462,0,0,4,READY_FOR_BLOCK4_EVALUATION
2026-07-27T01:08:47+00:00,ALL,ALL,TIME_24H,TIME_EXIT,1634,1569,65,-3.7516176984775105,-5.062742098993591,-1.3111244005160805,0.0,-2142.3772704432754,595,577,462,36.41370869033047,30.660954712362305,39.53488372093023,0.8149889456224758,-5.062742098993591,295,90,300,487,0,0,15,READY_FOR_BLOCK4_EVALUATION
2026-07-27T01:08:47+00:00,ALL,ALL,TIME_48H,TIME_EXIT,284,284,0,-41.990991203301284,-35.78675754780351,6.204233655497772,0.0,1762.0023581613673,76,88,120,26.76056338028169,2.112676056338028,16.901408450704224,0.0002028508129285539,-35.78675754780351,76,1,0,87,0,0,0,READY_FOR_BLOCK4_EVALUATION
2026-07-27T01:08:47+00:00,ALL,ALL,TIME_4H,TIME_EXIT,517,517,0,-8.674479905910992,-1.2635916496239106,7.410888256287082,0.0,3831.4292285004217,217,213,87,41.97292069632495,43.133462282398455,48.35589941972921,0.9050167414769873,-1.2635916496239106,159,79,58,134,0,0,3,READY_FOR_BLOCK4_EVALUATION
2026-07-27T01:08:47+00:00,ALL,ALL,TIME_6H,TIME_EXIT,1771,1706,65,-1.7458419625708987,-2.257043254189738,-0.5112012916188392,0.0,-905.3374874569643,808,697,266,45.62394127611519,41.219649915302085,43.47826086956522,0.8653143354175133,-2.257043254189738,622,392,186,305,0,0,9,READY_FOR_BLOCK4_EVALUATION
