trade_id,portfolio,asset,side,closed_at,actual_net_pnl_eur,mfe_net_eur,mae_net_eur,reached_50_eur,closed_loss_after_reaching_50,tp_25,tp_50,tp_75,tp_100,tp_150,tp_200,sl_50,tp50_sl50,breakeven_after_50,lock20_after_50,lock30_after_50,partial50_after_50,trailing20_after_50
1acbb7031abcfc19ea31,SHADOW_1H_BALANCED,ZEC,LONG,2026-07-12T16:28:26+00:00,29.73035933484665,0.0,0.0,False,False,29.73035933484665,29.73035933484665,29.73035933484665,29.73035933484665,29.73035933484665,29.73035933484665,29.73035933484665,29.73035933484665,29.73035933484665,29.73035933484665,29.73035933484665,29.73035933484665,29.73035933484665
a6eabeeba598a34124bf,SHADOW_1H_FAST,ZEC,LONG,2026-07-12T16:28:26+00:00,45.620888011163274,0.0,0.0,False,False,45.620888011163274,45.620888011163274,45.620888011163274,45.620888011163274,45.620888011163274,45.620888011163274,45.620888011163274,45.620888011163274,45.620888011163274,45.620888011163274,45.620888011163274,45.620888011163274,45.620888011163274
3201724a8260217f36a8,SHADOW_RELATIVE_STRENGTH,ZEC,LONG,2026-07-12T16:28:26+00:00,26.854088660940796,0.0,0.0,False,False,26.854088660940796,26.854088660940796,26.854088660940796,26.854088660940796,26.854088660940796,26.854088660940796,26.854088660940796,26.854088660940796,26.854088660940796,26.854088660940796,26.854088660940796,26.854088660940796,26.854088660940796
a1c59c52f8778d629a97,SHADOW_1H_FAST,T,LONG,2026-07-12T23:30:44+00:00,-0.5470105041478113,0.0,0.0,False,False,-0.5470105041478113,-0.5470105041478113,-0.5470105041478113,-0.5470105041478113,-0.5470105041478113,-0.5470105041478113,-0.5470105041478113,-0.5470105041478113,-0.5470105041478113,-0.5470105041478113,-0.5470105041478113,-0.5470105041478113,-0.5470105041478113
8716ff46f5ea6550e7ec,SHADOW_1H_FAST,ZEC,LONG,2026-07-13T01:07:33+00:00,-53.652171328260735,0.0,0.0,False,False,-53.652171328260735,-53.652171328260735,-53.652171328260735,-53.652171328260735,-53.652171328260735,-53.652171328260735,-53.652171328260735,-53.652171328260735,-53.652171328260735,-53.652171328260735,-53.652171328260735,-53.652171328260735,-53.652171328260735
bc8adec0cbeb37d5de80,SHADOW_1H_BALANCED,ZEC,LONG,2026-07-13T04:49:53+00:00,-52.59273570794037,0.0,0.0,False,False,-52.59273570794037,-52.59273570794037,-52.59273570794037,-52.59273570794037,-52.59273570794037,-52.59273570794037,-52.59273570794037,-52.59273570794037,-52.59273570794037,-52.59273570794037,-52.59273570794037,-52.59273570794037,-52.59273570794037
b346dbaa6a455d3e074b,SHADOW_RELATIVE_STRENGTH,ZEC,LONG,2026-07-13T04:49:53+00:00,-52.57768860125632,0.0,0.0,False,False,-52.57768860125632,-52.57768860125632,-52.57768860125632,-52.57768860125632,-52.57768860125632,-52.57768860125632,-52.57768860125632,-52.57768860125632,-52.57768860125632,-52.57768860125632,-52.57768860125632,-52.57768860125632,-52.57768860125632
2a36000dc68dbaf43e4e,SHADOW_1H_BALANCED,LAB,SHORT,2026-07-13T07:47:52+00:00,99.63615676375981,0.0,0.0,False,False,99.63615676375981,99.63615676375981,99.63615676375981,99.63615676375981,99.63615676375981,99.63615676375981,99.63615676375981,99.63615676375981,99.63615676375981,99.63615676375981,99.63615676375981,99.63615676375981,99.63615676375981
cf5f91d36d4be093b4ad,SHADOW_1H_FAST,T,LONG,2026-07-13T07:47:52+00:00,-51.291743392216915,0.0,0.0,False,False,-51.291743392216915,-51.291743392216915,-51.291743392216915,-51.291743392216915,-51.291743392216915,-51.291743392216915,-51.291743392216915,-51.291743392216915,-51.291743392216915,-51.291743392216915,-51.291743392216915,-51.291743392216915,-51.291743392216915
e47b5c28da6096f2797a,SHADOW_1H_FAST,LAB,SHORT,2026-07-13T07:47:52+00:00,74.61769905661585,0.0,0.0,False,False,74.61769905661585,74.61769905661585,74.61769905661585,74.61769905661585,74.61769905661585,74.61769905661585,74.61769905661585,74.61769905661585,74.61769905661585,74.61769905661585,74.61769905661585,74.61769905661585,74.61769905661585
