generated_utc,system,profile,paper_portfolio,paper_label,paper_closed_trades,research_closed_trades,research_taken_by_paper,research_skipped_by_paper,paper_only_or_research_open,paper_profit_factor,paper_expectancy,research_profit_factor,research_expectancy,taken_profit_factor,taken_expectancy,skipped_profit_factor,skipped_expectancy,selection_delta,execution_delta,metric_unit,status
2026-07-27T22:57:23+00:00,MAIN_PAPER_RESEARCH,SHADOW_ETH_DONCHIAN_1H,SHADOW_ETH_DONCHIAN_1H,Eth Donchian 1H,5,5,5,0,0,0.42207909966054447,-0.5111013782487739,0.4197541151770433,-0.5222212963406612,0.4197541151770433,-0.5222212963406612,0.0,0.0,-0.5222212963406612,0.011119918091887282,R,CAMPIONE INSUFFICIENTE
2026-07-27T22:57:23+00:00,MAIN_PAPER_RESEARCH,SHADOW_ETH_EMA_1H,SHADOW_ETH_EMA_1H,Eth Ema 1H,8,6,4,2,4,0.1642393378952216,-0.6872286014531516,0.34071385146480426,-0.6091711442571625,0.5666666666666664,-0.36111111111111055,0.0,-1.1052912105492663,0.7441800994381558,-0.326117490342041,R,CAMPIONE INSUFFICIENTE
2026-07-27T22:57:23+00:00,MAIN_PAPER_RESEARCH,SHADOW_ETH_EMA_4H,SHADOW_ETH_EMA_4H,Eth Ema 4H,1,1,1,0,0,0.0,-1.0576060801035667,0.0,-1.0565716251578272,0.0,-1.0565716251578272,0.0,0.0,-1.0565716251578272,-0.0010344549457395047,R,CAMPIONE INSUFFICIENTE
2026-07-27T22:57:23+00:00,MAIN_PAPER_RESEARCH,SHADOW_GLOBAL_PURE,SHADOW_GLOBAL_PURE,Global Confluence puro 1H,10,4,2,2,8,0.36907541380451947,-0.4205376188485495,1.7477805927740304,0.4083242386803361,1.2886270108492364,0.1587448559670801,2.213628512119734,0.6579036213935922,-0.49915876542651205,-0.5792824748156296,R,CAMPIONE INSUFFICIENTE
2026-07-27T22:57:23+00:00,MAIN_PAPER_RESEARCH,SHADOW_MASTER_ADAPTIVE_EXPANDED_V1,SHADOW_MASTER_ADAPTIVE_EXPANDED_V1,Master Adaptive Expanded V1,18,47,8,39,10,0.6183760411976231,-0.22158407134351327,0.8186841744885583,-0.12984880916888727,1.0646540732932508,0.04384786777920968,0.7714167804523375,-0.1654788967479841,0.2093267645271938,-0.26543193912272295,R,FILTRO PAPER UTILE
2026-07-27T22:57:23+00:00,MAIN_PAPER_RESEARCH,SHADOW_MASTER_ADAPTIVE_GB20_BE_V1,SHADOW_MASTER_ADAPTIVE_GB20_BE_V1,"Master Adaptive GB20 — Breakeven 0,5R",20,0,0,0,20,0.7733868426535266,-0.16764486659412256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16764486659412256,R,CAMPIONE INSUFFICIENTE
2026-07-27T22:57:23+00:00,MAIN_PAPER_RESEARCH,SHADOW_MASTER_ADAPTIVE_GB20_LOSS_CAP_V1,SHADOW_MASTER_ADAPTIVE_GB20_LOSS_CAP_V1,"Master Adaptive GB20 — Loss Cap 0,75R",16,0,0,0,16,0.7085345135305219,-0.37332157485421097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37332157485421097,R,CAMPIONE INSUFFICIENTE
2026-07-27T22:57:23+00:00,MAIN_PAPER_RESEARCH,SHADOW_MASTER_ADAPTIVE_GB20_PARTIAL_V1,SHADOW_MASTER_ADAPTIVE_GB20_PARTIAL_V1,"Master Adaptive GB20 — 50% a 0,75R",15,0,0,0,15,0.7270694609351285,-0.24090975280212007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24090975280212007,R,CAMPIONE INSUFFICIENTE
2026-07-27T22:57:23+00:00,MAIN_PAPER_RESEARCH,SHADOW_MASTER_ADAPTIVE_GB20_V1,SHADOW_MASTER_ADAPTIVE_GB20_V1,Master Adaptive Gb20 V1,51,47,11,36,40,0.5975431867454949,-0.14462881094268434,0.7397934542451664,-0.1919933900286952,0.19072433629048444,-0.7663421061501047,0.9755208361381744,-0.016497948991597827,-0.7498441571585068,0.6217132952074204,R,SELEZIONE DA RIVEDERE
2026-07-27T22:57:23+00:00,MAIN_PAPER_RESEARCH,SHADOW_MASTER_ADAPTIVE_NO_ALT_V1,SHADOW_MASTER_ADAPTIVE_NO_ALT_V1,Master Adaptive No Alt V1,15,42,4,38,11,0.5332499281126075,-0.44529966639730856,0.7787749864506454,-0.16033560086100523,0.6108034530466362,-0.31646997195142745,0.7988700904042491,-0.14390040390411868,-0.17256956804730877,-0.1288296944458811,R,CAMPIONE INSUFFICIENTE
