processed_at,signal_id,experiment_group_id,portfolio,is_main,strategy,asset,symbol,timeframe_minutes,candle_time,side,score,confidence,entry_reference_price,stop_pct,target_pct,relative_strength_score,breakout_state,decision,decision_reason
2026-07-15T17:23:15+00:00,45f1c210d61c7f371559,385b82606e3437b1d325,SHADOW_SCANNER_TOP5_BTC,False,scanner_top5_btc_strength,AKE,AKEUSDTM,60,2026-07-15T16:00:00+00:00,LONG,9.5,ALTA,0.00065089,0.12,0.264,251.9291,NONE,OPENED,aperta
2026-07-15T17:23:15+00:00,a18393e1d302b84cc0bf,6e64350d617fa39cca3b,SHADOW_SCANNER_TOP5_BTC,False,scanner_top5_btc_strength,ETH,ETHUSDTM,60,2026-07-15T16:00:00+00:00,LONG,6.7027,BUONA,1922.65,0.01593082,0.0350478,2.553,NONE,REJECTED,numero massimo posizioni
2026-07-15T17:23:15+00:00,3e5ba1cc00d3a82b6bd5,6e64350d617fa39cca3b,SHADOW_SCANNER_TOP5_LONG,False,scanner_top5_long,ETH,ETHUSDTM,60,2026-07-15T16:00:00+00:00,LONG,6.7027,BUONA,1922.65,0.01593082,0.03186164,2.553,NONE,OPENED,aperta
2026-07-15T17:23:15+00:00,62aa430be2520e003854,f5af20a4c613e0f3c161,SHADOW_SCANNER_TOP5_LONG,False,scanner_top5_long,XRP,XRPUSDTM,60,2026-07-15T16:00:00+00:00,LONG,6.1815,BUONA,1.11327,0.0144,0.0288,0.0308,NONE,REJECTED,numero massimo posizioni
2026-07-15T17:23:15+00:00,9d27628085deeb8d1acf,ab6333bf9a326f1a60d8,SHADOW_SCANNER_TOP5_LONG,False,scanner_top5_long,ZEC,ZECUSDTM,60,2026-07-15T16:00:00+00:00,LONG,6.6302,BUONA,574.43,0.02964611,0.05929222,3.6002,NONE,REJECTED,numero massimo posizioni
2026-07-15T17:23:15+00:00,b3e8df625e041b550c1d,385b82606e3437b1d325,SHADOW_SCANNER_TOP5_LONG,False,scanner_top5_long,AKE,AKEUSDTM,60,2026-07-15T16:00:00+00:00,LONG,9.5,ALTA,0.00065089,0.12,0.24,251.9291,NONE,OPENED,aperta
2026-07-15T17:23:15+00:00,c6ec80d43c40ed0b4c70,a17ad387162637525087,SHADOW_SCANNER_TOP5_LONG,False,scanner_top5_long,BTC,XBTUSDTM,60,2026-07-15T16:00:00+00:00,LONG,6.1907,BUONA,65038.83,0.0144,0.0288,0.0,NONE,REJECTED,numero massimo posizioni
2026-07-16T01:10:09+00:00,23ee3b15f0262bd2ad07,4a5b74a6fa8305ab5934,SHADOW_1H_FAST,False,momentum_breakout,AKE,AKEUSDTM,60,2026-07-16T00:00:00+00:00,LONG,6.75,BUONA,0.00071189,0.12,0.18,279.4063,NONE,OPENED,aperta
2026-07-16T07:03:56+00:00,91c0ec899deff6daf42b,2dcab01424b9f8fdca2e,SHADOW_1H_FAST,False,momentum_breakout,LAB,LABUSDTM,60,2026-07-16T06:00:00+00:00,SHORT,-7.0,BUONA,0.21678,0.12,0.18,-20.8801,NONE,OPENED,aperta
2026-07-16T07:03:56+00:00,1c92131dca2b2170653f,17a0312094b834b88406,SHADOW_COMBO_ADAPTIVE,False,combo_adaptive,AKE,AKEUSDTM,60,2026-07-16T06:00:00+00:00,LONG,7.5,ALTA,0.00081853,0.12,0.24,179.7159,NONE,OPENED,aperta
2026-07-16T07:03:56+00:00,c80dbf662a774594c96d,ba56f376cb3654d5b2f6,SHADOW_COMBO_ADAPTIVE,False,combo_adaptive,ETH,ETHUSDTM,60,2026-07-16T06:00:00+00:00,LONG,6.5127,BUONA,1920.66,0.0144,0.0288,3.4165,NONE,OPENED,aperta
2026-07-16T07:03:56+00:00,3b04ecdb2a36b4d141f8,ba56f376cb3654d5b2f6,SHADOW_COMBO_SCANNER,False,combo_scanner,ETH,ETHUSDTM,60,2026-07-16T06:00:00+00:00,LONG,6.5799,BUONA,1920.66,0.0144,0.03168,3.4165,NONE,REJECTED,limite posizioni nella stessa direzione
