generated_utc,portfolio,portfolio_label,is_main,strategy,strategy_label,equity_eur,balance_eur,unrealized_pnl_eur,month_pnl_eur,monthly_target_eur,target_progress_pct,open_positions,open_margin_eur,open_notional_eur,open_initial_risk_eur,open_stop_risk_eur,closed_trades,unique_market_events,winning_trades,win_rate_pct,profit_factor,expectancy_eur,net_pnl_closed_eur,average_mfe_net_eur,average_mae_net_eur,excursion_sample,average_signed_capture_pct,signed_capture_sample,average_winner_capture_pct,winner_capture_sample,average_profit_giveback_eur,average_profit_giveback_pct_of_mfe,giveback_sample,lost_after_positive_mfe_count,average_profit_retained_pct,profit_retention_sample,max_drawdown_pct
2026-08-14T11:13:39+00:00,MAIN,Principale 4H,True,confluence_trend,Confluenza trend,9732.274519431858,9717.029073730708,15.245445701150286,-16.072900427390778,3000.0,-0.5357633475796926,5,1286.7436458995394,3860.2309376986177,194.28169238643335,194.28169238643312,40,40,14,35.0,0.7753909821771054,-7.076648389824252,-283.06593559297005,45.08360129359106,-44.50065969086714,36,-285.9931577444601,33,68.27947967923606,12,59.05230034483078,385.99315774446006,33,21,68.27947967923606,12,6.362312576071417
2026-08-14T11:13:39+00:00,SHADOW_1H_BALANCED,Bilanciata 1H V1,False,confluence_trend,Confluenza trend,9994.250315617306,9993.68904907768,0.5612665396253657,-310.9352057895521,3000.0,-10.364506859651737,6,1980.1761083266167,5940.52832497985,201.3122028590049,151.21011171622257,92,92,39,42.391304347826086,0.9979025630892115,-0.03771229776320782,-3.4695313942151196,37.49144161255832,-27.82781860466312,86,-372.4161063895808,79,58.789326528530175,35,39.699814731184354,472.4161063895808,79,44,58.789326528530175,35,6.2726771911257515
2026-08-14T11:13:39+00:00,SHADOW_1H_BALANCED_LONG_NO_RHV_V1,Bilanciata 1H — LONG senza Range High Vol,False,confluence_trend,Confluenza trend,9543.36590274369,9544.226425256427,-0.8605225127384943,-113.86847179263714,3000.0,-3.795615726421238,5,1796.5338230423781,5389.601469127134,190.74615108630516,143.36258233368153,40,40,13,32.5,0.622867777383266,-11.306762221835482,-452.2704888734193,43.13648249530185,-39.382611175245415,40,-296.44161860913965,39,65.50085526803552,13,55.82827265514426,396.44161860913965,39,26,65.50085526803552,13,7.002542842056797
2026-08-14T11:13:39+00:00,SHADOW_1H_BALANCED_SHORT_TREND_DOWN_STRICT_V1,Bilanciata 1H — SHORT Trend Down stretto,False,confluence_trend,Confluenza trend,10007.722277808789,9938.893971675845,68.82830613294456,64.34678520718808,3000.0,2.1448928402396024,4,3303.336456527069,9910.009369581207,199.26286180870522,149.54598434569692,2,2,0,0.0,0.0,-28.312253699198926,-56.62450739839785,49.49650523938539,-30.71970663300553,2,-63.897892122149855,2,0.0,0,77.80875893858432,163.89789212214987,2,2,0.0,0,1.3587560776283731
2026-08-14T11:13:39+00:00,SHADOW_1H_BALANCED_V2,Bilanciata 1H V2,False,confluence_trend_v2,Confluenza trend V2,9856.88030580507,9815.548308354293,41.33199745077688,-421.91935608611857,3000.0,-14.063978536203953,5,2605.155423966032,7815.466271898095,195.31044362114,146.25167599289622,59,55,26,44.06779661016949,0.8654457864485527,-3.0815539006902055,-181.81168014072213,44.67483466477619,-33.945724239452744,59,-316.88196896279237,53,51.51426941910023,26,48.15042041030623,416.8819689627923,53,27,51.51426941910023,26,5.620694280573621
2026-08-14T11:13:39+00:00,SHADOW_1H_BALANCED_V3,Bilanciata 1H V3 Filtered,False,confluence_trend_v3_filtered,Confluenza trend V3 Filtered,10307.880261806398,10255.457152044832,52.42310976156684,-132.15788478345712,3000.0,-4.405262826115237,6,3044.1963103460425,9132.588931038128,206.0662691877592,157.27036528744972,82,82,32,39.02439024390244,1.1580198093014882,3.145002331350296,257.8901911707243,41.398301019680545,-30.787272614184847,82,-312.9894064328339,81,73.19410255401615,32,38.134655735566,413.1624629520333,81,49,73.19410255401615,32,4.308788362008295
2026-08-14T11:13:39+00:00,SHADOW_1H_FAST,Rapida 1H V1 — madre,False,momentum_breakout,Momentum / breakout,10043.27869572774,10043.27869572774,0,0.0,3000.0,0.0,0,0,0,0,0,78,78,27,34.61538461538461,1.0244303008182483,0.554855073432741,43.2786957277538,44.118245124297275,-35.380986312542944,67,-242.72844287707716,63,88.99407322313154,21,45.7779358540634,342.72844287707704,63,42,88.99407322313154,21,6.7637679617549376
2026-08-14T11:13:39+00:00,SHADOW_1H_FAST_SCORE_6_75_V1,"Rapida V1 — score 6–7,5",False,momentum_breakout,Momentum / breakout,10515.369477717979,10433.928879466332,81.44059825164769,29.8180126688967,3000.0,0.9939337556298901,5,3438.2101889462992,10314.630566838898,210.23390833635673,104.9677352797776,103,103,45,43.689320388349515,1.2026962568773076,4.240448122979413,436.7661566668795,45.062902445175254,-35.27254741334943,103,-229.56258849336325,98,78.00757548899055,45,41.04912646274538,329.5625884933633,98,53,78.00757548899055,45,3.211379076056394
2026-08-14T11:13:39+00:00,SHADOW_1H_FAST_SCORE_6_75_NO_TREND_UP_V1,"Rapida score 6–7,5 — senza Trend Up",False,momentum_breakout,Momentum / breakout,10235.789922869675,10156.514643321667,79.27527954800888,29.02522010690882,3000.0,0.9675073368969606,5,3346.7960663957424,10040.388199187228,204.6442709364303,102.176883967787,61,61,29,47.540983606557376,1.1087041336088481,2.611089898843406,159.27648382944778,44.26411241449395,-35.62359836724825,61,-188.17439840204213,58,80.54660851851399,29,41.71135989694075,288.17439840204213,58,29,80.54660851851399,29,3.5554058591124615
2026-08-14T11:13:39+00:00,SHADOW_1H_FAST_SCORE_6_75_RANGE_ONLY_V1,"Rapida score 6–7,5 — Range Only",False,momentum_breakout,Momentum / breakout,10381.58165250429,10310.202081014466,71.37957148982484,163.510871186425,3000.0,5.450362372880833,2,1685.0446869610892,5055.134060883268,103.29959283250008,0.0,29,29,15,51.724137931034484,1.419395872147378,10.687895656974787,309.9489740522688,48.87836723091806,-39.43251429330203,29,-158.52259296301042,26,93.74781612217194,15,37.88450596686587,258.52259296301037,26,11,93.74781612217194,15,2.3062375895341427
