generated_utc,scope,portfolio,scenario_id,scenario_kind,sample_total,sample_full_from_entry,sample_partial,average_actual_comparable_pnl_eur,average_shadow_comparable_pnl_eur,average_delta_vs_actual_eur,median_delta_vs_actual_eur,total_delta_vs_actual_eur,improved_count,worsened_count,equal_count,improved_pct,shadow_win_rate_pct,actual_win_rate_pct,shadow_profit_factor,shadow_expectancy_eur,earlier_better_count,too_early_count,later_better_count,too_late_count,same_time_better_count,same_time_worse_count,ambiguous_count,data_stage
2026-08-14T11:09:20+00:00,ALL,ALL,ATR10_R050,ATR_TRAIL,3265,3265,0,-8.849566135550575,-2.6004809927302066,6.249085142820369,1.1102230246251565e-16,20403.262991308504,1594,818,853,48.820826952526794,37.76416539050536,36.50842266462481,0.8119652211921178,-2.6004809927302066,1417,547,177,271,0,0,26,READY_FOR_BLOCK4_EVALUATION
2026-08-14T11:09:20+00:00,ALL,ALL,ATR15_R050,ATR_TRAIL,3244,3244,0,-9.373356370490963,-2.6625218816436074,6.710834488847356,0.0,21769.94708182082,1434,913,897,44.20468557336621,27.18865598027127,36.097410604192355,0.811747051229574,-2.6625218816436074,1187,474,247,439,0,0,26,READY_FOR_BLOCK4_EVALUATION
2026-08-14T11:09:20+00:00,ALL,ALL,ATR15_R100,ATR_TRAIL,4646,4580,66,-6.135669641557274,-4.986810269852506,1.1488593717047675,0.0,5337.60064094035,1624,1321,1701,34.95479982780887,36.26775721050366,37.04261730520878,0.7607072969160475,-4.986810269852506,1178,488,446,833,0,0,27,READY_FOR_BLOCK4_EVALUATION
2026-08-14T11:09:20+00:00,ALL,ALL,ATR20_R050,ATR_TRAIL,3244,3244,0,-9.373356370490963,-3.229985935524646,6.143370434966317,0.0,19929.093691030732,1392,940,912,42.909987669543774,21.701602959309493,36.097410604192355,0.7732152370601647,-3.229985935524646,1130,397,262,543,0,0,26,READY_FOR_BLOCK4_EVALUATION
2026-08-14T11:09:20+00:00,ALL,ALL,ATR20_R100,ATR_TRAIL,4646,4580,66,-6.135669641557274,-5.843122023202197,0.29254761835507653,0.0,1359.1762348776856,1526,1403,1717,32.84545845888937,28.949634093844168,37.04261730520878,0.7215742324405429,-5.843122023202197,1051,354,475,1049,0,0,27,READY_FOR_BLOCK4_EVALUATION
2026-08-14T11:09:20+00:00,ALL,ALL,ATR30_R100,ATR_TRAIL,4638,4572,66,-6.162136572648038,-10.364310796064432,-4.202174223416393,0.0,-19489.684048205232,1379,1508,1751,29.73264338076757,18.628719275549805,36.934023285899094,0.5165216046650245,-10.364310796064432,938,301,441,1207,0,0,43,READY_FOR_BLOCK4_EVALUATION
2026-08-14T11:09:20+00:00,ALL,ALL,BE_A020,BREAKEVEN,3187,3187,0,-8.269747469146106,-5.740392347373658,2.5293551217724466,0.0,8061.054773088787,1420,1115,652,44.55600878569187,2.5101976780671476,36.14684656416693,0.4237422386162136,-5.740392347373658,1304,656,116,459,0,0,30,READY_FOR_BLOCK4_EVALUATION
2026-08-14T11:09:20+00:00,ALL,ALL,BE_A030,BREAKEVEN,3164,3164,0,-8.69459044086345,-6.908353169058817,1.7862372718046329,0.0,5651.654727989859,1362,1088,714,43.04677623261694,3.0973451327433628,35.682680151706705,0.3895954405153075,-6.908353169058817,1240,544,122,544,0,0,28,READY_FOR_BLOCK4_EVALUATION
2026-08-14T11:09:20+00:00,ALL,ALL,BE_A040,BREAKEVEN,3154,3154,0,-8.972688668233802,-8.371440805663456,0.6012478625703455,0.0,1896.3357585468696,1282,1072,800,40.646797717184526,3.487634749524413,35.47875713379835,0.37533515808765266,-8.371440805663456,1150,450,132,622,0,0,28,READY_FOR_BLOCK4_EVALUATION
2026-08-14T11:09:20+00:00,ALL,ALL,BE_A050,BREAKEVEN,3151,3151,0,-9.010942734724685,-9.946793919642813,-0.9358511849181278,0.0,-2948.8670836770207,1150,1071,930,36.496350364963504,3.5544271659790545,35.41732783243415,0.33766807056199716,-9.946793919642813,1015,385,135,686,0,0,29,READY_FOR_BLOCK4_EVALUATION
2026-08-14T11:09:20+00:00,ALL,ALL,BE_A060,BREAKEVEN,3138,3138,0,-9.432608320374419,-11.642497134817178,-2.20988881444276,0.0,-6934.631099721381,1036,1053,1049,33.01465901848311,3.760356915232632,35.1497769279796,0.3052130971166917,-11.642497134817178,894,279,142,774,0,0,27,READY_FOR_BLOCK4_EVALUATION
2026-08-14T11:09:20+00:00,ALL,ALL,BE_A075,BREAKEVEN,3123,3123,0,-9.599926762857313,-13.095066914230761,-3.4951401513734472,0.0,-10915.322692739275,945,1039,1139,30.25936599423631,3.7784181876400895,34.838296509766245,0.2818351052510602,-13.095066914230761,808,207,137,832,0,0,25,READY_FOR_BLOCK4_EVALUATION
2026-08-14T11:09:20+00:00,ALL,ALL,BE_A100,BREAKEVEN,3088,3088,0,-10.263894954538474,-15.980378657040857,-5.716483702502383,0.0,-17652.50167332736,809,1062,1217,26.19818652849741,3.91839378238342,34.42357512953368,0.25427796235300176,-15.980378657040857,664,139,145,923,0,0,28,READY_FOR_BLOCK4_EVALUATION
2026-08-14T11:09:20+00:00,ALL,ALL,BE_A125,BREAKEVEN,3072,3072,0,-10.467182588335556,-17.960666477918696,-7.493483889583142,0.0,-23019.98250879941,748,1148,1176,24.348958333333336,3.9388020833333335,34.27734375,0.23369693040287284,-17.960666477918696,602,104,146,1044,0,0,25,READY_FOR_BLOCK4_EVALUATION
2026-08-14T11:09:20+00:00,ALL,ALL,BE_R020_BALANCED_LONG,BREAKEVEN,22,22,0,-8.23432838632025,-5.761338738902792,2.4729896474174584,0.0,54.40577224318409,8,8,6,36.36363636363637,0.0,36.36363636363637,0.0,-5.761338738902792,8,8,0,0,0,0,0,PRELIMINARY_SAMPLE
2026-08-14T11:09:20+00:00,ALL,ALL,BE_R040,BREAKEVEN,3194,3194,0,-10.61578382320385,-8.297168297289351,2.318615525914498,0.0,7405.657989770906,1317,1074,803,41.23356293049468,3.4439574201628056,35.09705698184095,0.3744702076109552,-8.297168297289351,1185,452,132,622,0,0,28,READY_FOR_BLOCK4_EVALUATION
2026-08-14T11:09:20+00:00,ALL,ALL,BE_R050,BREAKEVEN,4629,4563,66,-6.387820179051877,-10.710578333911883,-4.322758154860004,0.0,-20010.04749884696,1571,1668,1390,33.93821559732124,3.1108230719377836,36.63858284726722,0.3198398406571321,-10.710578333911883,1406,704,165,964,0,0,71,READY_FOR_BLOCK4_EVALUATION
2026-08-14T11:09:20+00:00,ALL,ALL,BE_R075,BREAKEVEN,3163,3163,0,-11.251193408822978,-12.991741247662231,-1.740547838839253,0.0,-5505.3528142485575,980,1041,1142,30.983243755927916,3.730635472652545,34.460954789756556,0.2808635446524329,-12.991741247662231,843,209,137,832,0,0,25,READY_FOR_BLOCK4_EVALUATION
2026-08-14T11:09:20+00:00,ALL,ALL,BE_R100,BREAKEVEN,4566,4500,66,-7.19900277514859,-15.727033466292497,-8.528030691143906,0.0,-38938.98813576307,1131,1662,1773,24.770039421813404,3.942181340341656,35.98335523434078,0.29431291800683723,-15.727033466292497,918,295,213,1367,0,0,67,READY_FOR_BLOCK4_EVALUATION
