timestamp,open,high,low,close,volume,turnover
1784907540000,3.29744,3.30404,3.29744,3.30404,5.0,164.9981
1784907600000,3.30338,3.30517,3.29792,3.30411,22.0,726.5047
1784907660000,3.2972,3.30623,3.29167,3.30623,21.0,692.918
1784907720000,3.30066,3.30484,3.29011,3.29667,486.0,16008.4503
1784907780000,3.29738,3.30795,3.29737,3.30795,23.0,759.7901
1784907840000,3.30461,3.30612,3.30042,3.30612,26.0,858.9289
1784907900000,3.30364,3.30364,3.2821,3.29024,75.0,2466.1576
1784907960000,3.2992,3.2992,3.29848,3.29848,4.0,131.9464
1784908020000,3.29969,3.29969,3.28067,3.28067,22.0,723.3813
1784908080000,3.2902,3.2902,3.26944,3.27106,43.0,1407.4949
1784908140000,3.27375,3.27529,3.23043,3.24061,44.0,1428.3288
1784908200000,3.24736,3.24908,3.22763,3.23438,41.0,1329.7493
1784908260000,3.22686,3.23198,3.21306,3.22104,70.0,2256.2936
1784908320000,3.23353,3.24437,3.22957,3.24437,11.0,356.0046
1784908380000,3.23759,3.23759,3.22595,3.2294,21.0,679.3284
1784908440000,3.21612,3.23385,3.21504,3.23385,26.0,838.298
1784908500000,3.23319,3.2408,3.22189,3.22964,96.0,3102.7148
1784908560000,3.24129,3.24826,3.23693,3.24689,9.0,291.8175
1784908620000,3.24837,3.26403,3.24451,3.26403,134.0,4359.9835
1784908680000,3.25749,3.25894,3.23918,3.24767,131.0,4259.5692
1784908740000,3.24766,3.25324,3.24615,3.2529,9.0,292.5838
1784908800000,3.25675,3.25929,3.24286,3.25338,48.0,1561.8386
1784908860000,3.25119,3.27476,3.24916,3.27383,34.0,1108.2344
1784908920000,3.26706,3.26966,3.26604,3.26966,23.0,751.7388
1784908980000,3.26804,3.28426,3.26254,3.28426,43.0,1405.8744
1784909040000,3.28944,3.29124,3.28194,3.29124,118.0,3874.5241
1784909100000,3.28343,3.296,3.27924,3.29457,30.0,986.2962
1784909160000,3.29436,3.29535,3.2864,3.2864,34.0,1118.5407
1784909220000,3.28258,3.29617,3.27924,3.29149,178.0,5857.1654
1784909280000,3.2874,3.30595,3.2874,3.30595,5.0,165.0829
1784909340000,3.29738,3.31182,3.29607,3.30961,131.0,4334.4983
1784909400000,3.30747,3.32561,3.30747,3.31973,94.0,3118.8084
1784909460000,3.31206,3.31824,3.30685,3.30958,68.0,2252.1486
