timestamp,open,high,low,close,volume,turnover
1784823840000,0.11222,0.11376,0.112,0.11318,2759.0,3109.6524
1784823900000,0.11318,0.11355,0.11269,0.11306,1723.0,1945.3287
1784823960000,0.11347,0.114,0.11298,0.11376,1166.0,1324.3913
1784824020000,0.11358,0.11444,0.11301,0.11404,2153.0,2442.8574
1784824080000,0.11432,0.11481,0.11382,0.11458,21565.0,24666.4281
1784824140000,0.11454,0.11455,0.11309,0.11373,7189.0,8189.2168
1784824200000,0.11419,0.115,0.1136,0.11449,5745.0,6581.2272
1784824260000,0.11452,0.11478,0.11331,0.11382,4464.0,5081.2388
1784824320000,0.11376,0.11459,0.1136,0.11369,1121.0,1278.4939
1784824380000,0.11411,0.11446,0.1136,0.11406,534.0,608.9059
1784824440000,0.11403,0.1144,0.1133,0.11357,790.0,900.0786
1784824500000,0.11395,0.11403,0.11261,0.11267,1864.0,2109.4069
1784824560000,0.1128,0.1128,0.11134,0.11256,4327.0,4844.5878
1784824620000,0.11266,0.11329,0.11113,0.11146,8504.0,9524.9034
1784824680000,0.11164,0.11211,0.11136,0.11202,1474.0,1648.0889
1784824740000,0.11207,0.11279,0.11181,0.11181,7534.0,8472.746
1784824800000,0.112,0.112,0.11054,0.11079,4658.0,5174.2722
1784824860000,0.11101,0.11132,0.10889,0.10948,14566.0,15970.5187
1784824920000,0.10957,0.10993,0.10839,0.10887,4472.0,4872.2736
1784824980000,0.10886,0.11073,0.10873,0.11056,15945.0,17589.5391
1784825040000,0.1104,0.11146,0.1104,0.11095,3665.0,4067.1413
1784825100000,0.11099,0.11113,0.10989,0.11083,2781.0,3074.257
1784825160000,0.11114,0.11159,0.1106,0.11076,7405.0,8242.7892
1784825220000,0.11094,0.1144,0.11094,0.11378,5479.0,6192.1134
1784825280000,0.11384,0.12013,0.11383,0.11705,78925.0,92679.7383
1784825340000,0.11659,0.1176,0.1162,0.11648,14321.0,16710.9448
1784825400000,0.11653,0.11772,0.11549,0.11737,9209.0,10748.7884
1784825460000,0.11738,0.121,0.11733,0.12088,16340.0,19485.0734
1784825520000,0.12079,0.12096,0.11954,0.11999,14019.0,16835.7519
1784825580000,0.11988,0.12206,0.11952,0.11966,14015.0,16984.1222
1784825640000,0.11985,0.12042,0.11827,0.11974,38290.0,45766.4403
1784825700000,0.11975,0.122,0.1192,0.12106,18535.0,22482.3663
1784825760000,0.12125,0.12181,0.1203,0.12087,8202.0,9934.0994
1784825820000,0.12098,0.12133,0.12043,0.12081,4385.0,5301.4562
1784825880000,0.12068,0.12094,0.11788,0.11965,14543.0,17433.6245
1784825940000,0.11984,0.12084,0.11925,0.12028,4955.0,5949.4569
1784826000000,0.12041,0.12041,0.11919,0.11993,10780.0,12904.4994
1784826060000,0.11975,0.12056,0.11817,0.12011,4126.0,4935.0897
1784826120000,0.12028,0.12079,0.11921,0.12019,2529.0,3034.428
1784826180000,0.11995,0.12013,0.1192,0.1198,3759.0,4500.7984
1784826240000,0.11975,0.11989,0.11835,0.11932,8566.0,10193.7472
1784826300000,0.11911,0.12146,0.11849,0.1208,7478.0,9026.4831
1784826360000,0.12047,0.12148,0.1192,0.12065,3689.0,4435.5535
1784826420000,0.12054,0.12077,0.11774,0.1184,9390.0,11248.7942
1784826480000,0.11843,0.1194,0.11837,0.11899,3531.0,4198.2021
1784826540000,0.11886,0.11976,0.11811,0.11842,4272.0,5085.6212
1784826600000,0.11853,0.11856,0.1144,0.11693,22304.0,25910.8805
1784826660000,0.11654,0.11676,0.11461,0.1164,9113.0,10511.5251
1784826720000,0.11655,0.11891,0.11644,0.11873,4758.0,5625.5278
1784826780000,0.1187,0.11961,0.11656,0.11708,13690.0,16239.1471
1784826840000,0.11707,0.11849,0.11684,0.11793,2079.0,2449.766
1784826900000,0.11815,0.1192,0.11735,0.11781,1232.0,1457.8711
1784826960000,0.11712,0.11768,0.116,0.11744,2950.0,3450.3645
1784827020000,0.11745,0.11772,0.116,0.116,11060.0,12905.6021
1784827080000,0.11623,0.11797,0.11602,0.1178,8167.0,9566.2408
1784827140000,0.11739,0.11808,0.1171,0.11742,8168.0,9596.0972
1784827200000,0.11739,0.11744,0.1152,0.1157,3003.0,3485.2822
1784827260000,0.116,0.11607,0.1147,0.11495,4560.0,5251.7911
1784827320000,0.11548,0.11568,0.11335,0.11346,4334.0,4949.3558
1784827380000,0.11348,0.11458,0.10499,0.10666,28779.0,31573.259
1784827440000,0.1066,0.11093,0.1066,0.11067,18205.0,19858.7215
1784827500000,0.11061,0.11251,0.11061,0.11214,8494.0,9513.4237
1784827560000,0.11227,0.11285,0.1108,0.11233,3969.0,4439.1788
1784827620000,0.11255,0.11282,0.11184,0.11264,3198.0,3593.2525
1784827680000,0.11255,0.11319,0.1125,0.11277,3851.0,4344.2382
1784827740000,0.11277,0.11314,0.11137,0.11232,9421.0,10547.726
1784827800000,0.11275,0.11275,0.10976,0.1115,8903.0,9888.9516
1784827860000,0.11172,0.11184,0.10939,0.10985,6958.0,7677.9019
1784827920000,0.10974,0.11089,0.10944,0.1102,6104.0,6725.4791
1784827980000,0.11032,0.11032,0.10787,0.10923,9671.0,10565.0571
1784828040000,0.10929,0.11139,0.10922,0.11085,8972.0,9929.6265
1784828100000,0.11092,0.112,0.11092,0.112,5468.0,6114.7996
1784828160000,0.11194,0.11194,0.10745,0.10984,13482.0,14745.5951
1784828220000,0.11014,0.11014,0.10848,0.10896,10016.0,10932.1495
1784828280000,0.10944,0.11018,0.10944,0.10975,2606.0,2865.6713
1784828340000,0.10998,0.11031,0.10839,0.10871,7099.0,7731.8526
1784828400000,0.1089,0.10932,0.10782,0.10852,4908.0,5327.749
1784828460000,0.10875,0.11,0.10875,0.1097,4351.0,4765.6938
1784828520000,0.10992,0.1101,0.10941,0.1095,3059.0,3357.3292
1784828580000,0.10936,0.11026,0.10934,0.10984,2785.0,3059.0832
1784828640000,0.11009,0.11115,0.11009,0.11048,6039.0,6688.1477
1784828700000,0.11031,0.11031,0.10863,0.10943,2866.0,3127.7238
1784828760000,0.10917,0.11011,0.10894,0.10906,6886.0,7567.1791
1784828820000,0.10897,0.10994,0.10897,0.10994,1360.0,1486.9784
1784828880000,0.11033,0.11143,0.11018,0.1103,3136.0,3471.8839
1784828940000,0.11022,0.11191,0.11022,0.11177,9191.0,10265.2788
1784829000000,0.11168,0.11182,0.10976,0.11052,9722.0,10797.249
1784829060000,0.11026,0.11026,0.10873,0.10934,10521.0,11549.4663
1784829120000,0.10976,0.11003,0.10868,0.10868,3365.0,3677.2685
1784829180000,0.10868,0.10897,0.10447,0.10475,33577.0,35866.62
1784829240000,0.1048,0.10547,0.10254,0.10482,51714.0,53573.7517
1784829300000,0.1047,0.10509,0.09874,0.10032,24297.0,24451.4822
1784829360000,0.10041,0.10059,0.09879,0.09984,21170.0,21078.8783
1784829420000,0.09951,0.10162,0.09872,0.10154,17472.0,17476.1819
1784829480000,0.10125,0.10142,0.09712,0.09851,21673.0,21432.246
1784829540000,0.09841,0.0995,0.09823,0.0993,21460.0,21268.3176
1784829600000,0.09937,0.09984,0.0963,0.09692,67376.0,66809.4826
1784829660000,0.09698,0.0973,0.09515,0.09534,19832.0,19018.1909
1784829720000,0.09567,0.09734,0.09503,0.09536,7879.0,7566.1656
1784829780000,0.09552,0.09595,0.09472,0.09532,1143.0,1089.4189
1784829840000,0.09531,0.09564,0.0944,0.09451,17513.0,16664.3833
1784829900000,0.09408,0.09896,0.09406,0.0984,21337.0,20516.0867
1784829960000,0.09849,0.09849,0.096,0.096,6729.0,6554.0408
1784830020000,0.09585,0.09685,0.09383,0.09648,30166.0,28929.8367
1784830080000,0.0965,0.09828,0.09594,0.09711,12179.0,11867.2088
1784830140000,0.09707,0.0976,0.09633,0.09635,6442.0,6240.0922
1784830200000,0.0964,0.09648,0.09364,0.09498,46212.0,43765.9521
1784830260000,0.09499,0.09528,0.0936,0.09397,7593.0,7161.5821
1784830320000,0.0936,0.0936,0.092,0.09235,15372.0,14260.6507
1784830380000,0.09191,0.09282,0.09122,0.09156,12533.0,11534.5993
1784830440000,0.0912,0.09156,0.0905,0.09098,18677.0,16958.95
1784830500000,0.09072,0.09169,0.08928,0.09012,27217.0,24564.2346
1784830560000,0.08978,0.09087,0.08916,0.08994,3252.0,2930.4097
1784830620000,0.08939,0.08939,0.08722,0.08826,83637.0,73501.2155
1784830680000,0.08805,0.08873,0.08668,0.08784,50294.0,44117.0205
1784830740000,0.08792,0.09196,0.08759,0.09168,24238.0,21873.1979
1784830800000,0.0918,0.09264,0.09022,0.09022,22944.0,21050.7544
1784830860000,0.09043,0.09234,0.08939,0.09191,22248.0,20159.52
1784830920000,0.09212,0.0936,0.09113,0.09256,24458.0,22661.8441
1784830980000,0.09244,0.0943,0.09217,0.0936,14429.0,13495.6399
1784831040000,0.09368,0.0964,0.09341,0.09577,106522.0,101736.9083
1784831100000,0.09592,0.09599,0.09401,0.09456,8013.0,7614.9513
1784831160000,0.09485,0.09485,0.09252,0.09314,14430.0,13462.8034
1784831220000,0.09325,0.09574,0.09312,0.0954,16930.0,15922.5721
1784831280000,0.09531,0.09552,0.09427,0.09482,12451.0,11822.8441
1784831340000,0.09457,0.09522,0.0945,0.09506,1997.0,1895.3746
1784831400000,0.09552,0.10141,0.09539,0.10033,23086.0,22879.7814
1784831460000,0.10023,0.10035,0.09879,0.09962,11374.0,11310.7192
1784831520000,0.09954,0.10271,0.09928,0.10117,24788.0,25261.509
1784831580000,0.10107,0.10256,0.10004,0.10256,4009.0,4056.7684
1784831640000,0.10217,0.10217,0.10004,0.10019,5176.0,5232.8779
1784831700000,0.10016,0.10102,0.09935,0.09996,2741.0,2743.1117
1784831760000,0.10007,0.10088,0.10004,0.10053,7134.0,7159.3623
1784831820000,0.10063,0.1011,0.10019,0.10019,4270.0,4296.0519
1784831880000,0.10053,0.10207,0.10053,0.10165,3747.0,3789.8008
1784831940000,0.10168,0.10195,0.10066,0.10172,3823.0,3865.9002
1784832000000,0.10172,0.10217,0.10112,0.10189,3932.0,4004.4552
1784832060000,0.102,0.10452,0.102,0.10332,6428.0,6663.5024
1784832120000,0.10316,0.10368,0.10272,0.10293,1777.0,1832.2895
1784832180000,0.10337,0.10345,0.10284,0.10298,926.0,954.8268
1784832240000,0.10296,0.10368,0.10286,0.10339,666.0,686.9349
1784832300000,0.10333,0.10333,0.10165,0.10237,4537.0,4633.7182
1784832360000,0.10237,0.10272,0.10172,0.10197,4668.0,4768.7477
1784832420000,0.10216,0.10302,0.10195,0.10263,2502.0,2567.6068
1784832480000,0.1028,0.10451,0.10245,0.10424,4818.0,4986.5875
1784832540000,0.10385,0.10568,0.10359,0.10446,9766.0,10244.7233
1784832600000,0.10445,0.1045,0.10187,0.10302,8493.0,8749.1635
1784832660000,0.10301,0.10367,0.10177,0.10232,5788.0,5958.7528
1784832720000,0.10198,0.10449,0.10194,0.10428,6880.0,7078.7146
