timestamp,open,high,low,close,volume,turnover
1785028140000,2.0868,2.0953,1.959,2.0913,467119.0,95882.6434
1785028200000,2.0933,2.0933,1.9825,2.0741,361204.0,73597.43904
1785028260000,2.0666,2.0677,2.0174,2.0516,93274.0,19091.28283
1785028320000,2.0552,2.0583,2.0226,2.0541,289403.0,59148.49198
1785028380000,2.0508,2.0551,2.0431,2.0534,55561.0,11390.03925
1785028440000,2.0551,2.0921,2.0435,2.0613,260255.0,53834.16131
1785028500000,2.0608,2.1275,2.0583,2.1093,263896.0,55373.61771
1785028560000,2.1143,2.1299,2.0968,2.1074,91896.0,19453.59592
1785028620000,2.1047,2.1328,2.1047,2.1249,19442.0,4122.36575
1785028680000,2.1227,2.1227,2.0389,2.0764,169485.0,35181.27868
1785028740000,2.079,2.1108,2.0747,2.11,133408.0,27853.79115
1785028800000,2.1071,2.1292,2.1071,2.124,28199.0,5978.08188
1785028860000,2.1233,2.134,2.121,2.1335,17983.0,3823.93547
1785028920000,2.1334,2.1415,2.1215,2.1309,40642.0,8668.40821
1785028980000,2.1294,2.15,2.1155,2.1482,48612.0,10413.573
1785029040000,2.1497,2.1656,2.1443,2.1633,29805.0,6416.33148
1785029100000,2.1618,2.163,2.112,2.1485,219032.0,46498.10751
1785029160000,2.1467,2.1467,2.1214,2.1214,36891.0,7884.57208
1785029220000,2.1205,2.1252,2.0805,2.1217,141272.0,29735.74722
1785029280000,2.1216,2.1229,2.0961,2.1026,35007.0,7376.60748
1785029340000,2.1028,2.1162,2.0926,2.1049,39115.0,8231.7033
1785029400000,2.103,2.1169,2.0539,2.0807,112919.0,23453.00393
1785029460000,2.0813,2.1023,2.0653,2.0947,85746.0,17853.50117
1785029520000,2.0938,2.1045,2.0682,2.0944,32624.0,6803.28285
1785029580000,2.0911,2.1275,2.0881,2.1275,42830.0,8991.89889
1785029640000,2.1297,2.1385,2.1139,2.1323,8187.0,1742.36929
1785029700000,2.1337,2.1477,2.1265,2.1473,17236.0,3690.60098
1785029760000,2.1458,2.1556,2.1281,2.13,11010.0,2360.65773
1785029820000,2.1305,2.1513,2.1286,2.1513,28413.0,6093.85886
1785029880000,2.1521,2.1572,2.1434,2.1481,23042.0,4952.51841
1785029940000,2.15,2.1954,2.15,2.1815,86276.0,18683.35586
1785030000000,2.1782,2.2168,2.1743,2.2106,36278.0,7960.35646
1785030060000,2.2108,2.2256,2.2035,2.2103,49164.0,10892.50456
1785030120000,2.2112,2.2264,2.2032,2.2226,42629.0,9438.91996
1785030180000,2.2171,2.2236,2.1854,2.1977,32070.0,7069.59861
1785030240000,2.1982,2.2093,2.1953,2.2041,28076.0,6188.88891
1785030300000,2.2081,2.2179,2.1762,2.1967,25599.0,5627.85384
1785030360000,2.2005,2.2125,2.1947,2.2058,7171.0,1578.76548
1785030420000,2.209,2.2483,2.209,2.2233,35885.0,7975.68213
1785030480000,2.2223,2.2439,2.2202,2.2439,50851.0,11358.15255
1785030540000,2.2414,2.2682,2.2296,2.2612,53898.0,12073.85797
1785030600000,2.2542,2.2772,2.2542,2.2683,64232.0,14536.91801
1785030660000,2.2711,2.2729,2.2307,2.2312,154619.0,34787.16995
1785030720000,2.2386,2.2531,2.2227,2.2445,76496.0,17148.80883
1785030780000,2.2476,2.2587,2.233,2.2533,6842.0,1537.63418
1785030840000,2.2543,2.2578,2.2239,2.2262,61391.0,13795.5231
1785030900000,2.2272,2.2324,2.1296,2.1552,138809.0,30051.16047
1785030960000,2.1575,2.169,2.14,2.157,65158.0,14019.74229
1785031020000,2.1631,2.1754,2.1363,2.1472,46514.0,10020.51788
1785031080000,2.1472,2.1638,2.1451,2.1465,22724.0,4889.33089
1785031140000,2.1425,2.1509,2.1331,2.1509,25424.0,5453.911
1785031200000,2.1512,2.1598,2.1051,2.1129,164985.0,35111.23212
1785031260000,2.1128,2.1429,2.1122,2.139,217482.0,46137.27919
1785031320000,2.1308,2.1466,2.1275,2.1444,36360.0,7781.20908
1785031380000,2.14,2.1414,2.0328,2.1076,175259.0,36443.92322
1785031440000,2.1061,2.1214,2.0995,2.1214,18382.0,3873.61281
1785031500000,2.1163,2.1486,2.1163,2.1403,48362.0,10347.07471
1785031560000,2.1398,2.1551,2.1344,2.1401,41074.0,8824.5587
1785031620000,2.1376,2.1416,2.1103,2.1391,85190.0,18117.75863
1785031680000,2.1397,2.1572,2.1397,2.1516,7887.0,1695.885
1785031740000,2.148,2.1904,2.1368,2.1444,256308.0,55176.05244
1785031800000,2.1439,2.1852,2.1439,2.1794,116711.0,25349.37057
1785031860000,2.1758,2.2128,2.1671,2.2045,58432.0,12858.02372
1785031920000,2.2056,2.2124,2.1911,2.203,29161.0,6410.59893
1785031980000,2.1991,2.2155,2.1939,2.214,239194.0,52877.88816
1785032040000,2.214,2.2328,2.2101,2.2213,73845.0,16353.48615
